,name,sector,positives,negatives,votes,rating
110,GlobalLogic,IT Services & Consulting,nan,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",5.7k,3.5
111,Firstsource Solutions,BPO,nan,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",5.6k,3.5
112,Tata Capital,NBFC,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,5.6k,4.0
113,ICICI Lombard General Insurance Company,Insurance,nan,"Promotions / Appraisal, Work Satisfaction, Company Culture",5.6k,3.5
114,Shapoorji Pallonji Group,Engineering & Construction,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,5.6k,4.1
115,Standard Chartered,Banking,nan,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",5.6k,3.6
116,Apollo Hospitals,Healthcare,"Job Security, Company Culture, Skill Development / Learning",nan,5.6k,4.1
117,UST,IT Services & Consulting,Work Life Balance,"Promotions / Appraisal, Job Security, Salary & Benefits",5.6k,3.7
118,Mahindra Finance,NBFC,nan,Promotions / Appraisal,5.5k,3.9
119,Bosch Global Software Technologies,IT Services & Consulting,"Work Life Balance, Company Culture, Job Security","Promotions / Appraisal, Salary & Benefits, Work Satisfaction",5.5k,3.7
120,Ashok Leyland,Automobile,"Work Life Balance, Skill Development / Learning, Company Culture",Promotions / Appraisal,5.5k,4.0
121,Swiggy,Internet,nan,"Promotions / Appraisal, Job Security",5.4k,3.7
122,Citicorp,Financial Services,Salary & Benefits,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",5.4k,3.7
123,Hero MotoCorp,Automobile,"Work Life Balance, Company Culture, Work Satisfaction",Promotions / Appraisal,5.4k,4.1
124,CGI Group,IT Services & Consulting,"Company Culture, Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits",5.3k,4.0
125,Cyient,IT Services & Consulting,nan,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",5.3k,3.6
126,SBI Cards & Payment Services,Financial Services,nan,"Promotions / Appraisal, Work Satisfaction, Company Culture",5.2k,3.6
127,BNY,Financial Services,nan,"Promotions / Appraisal, Job Security, Work Satisfaction",5.2k,3.6
128,Kalpataru Projects International,Engineering & Construction,"Job Security, Skill Development / Learning, Salary & Benefits",nan,5.2k,4.2
129,IQVIA,Clinical Research,"Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits",5.1k,3.7
130,JustDial,Internet,nan,"Promotions / Appraisal, Work Satisfaction, Job Security",5.1k,3.5
131,NTT DATA,IT Services & Consulting,Work Life Balance,Promotions / Appraisal,5.1k,3.8
132,Nagarjuna Construction Company,Engineering & Construction,"Job Security, Company Culture, Work Life Balance",nan,5.1k,4.0
133,SBI Life Insurance Company,Insurance,Job Security,"Promotions / Appraisal, Work Life Balance, Work Satisfaction",5k,3.7
134,Schneider Electric,Industrial Automation,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal,5k,4.1
135,TVS Motor,Automobile,"Job Security, Skill Development / Learning, Salary & Benefits",Promotions / Appraisal,5k,3.9
136,CBRE,Real Estate,"Company Culture, Work Life Balance, Job Security",nan,5k,4.1
137,Persistent Systems,IT Services & Consulting,nan,"Promotions / Appraisal, Job Security, Work Satisfaction",5k,3.6
138,vivo,Consumer Electronics & Appliances,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal,4.9k,4.1
139,State Bank of India,Banking,"Job Security, Skill Development / Learning, Salary & Benefits",nan,4.9k,3.8
140,Atos,IT Services & Consulting,Work Life Balance,"Promotions / Appraisal, Salary & Benefits",4.9k,3.8
141,Ecom Express,Logistics,"Work Life Balance, Company Culture, Work Satisfaction",nan,4.8k,4.0
142,KEC International,Engineering & Construction,"Job Security, Salary & Benefits, Company Culture",Promotions / Appraisal,4.8k,4.0
143,Amdocs,Software Product,nan,"Promotions / Appraisal, Job Security, Work Satisfaction",4.8k,3.6
144,Eviden,IT Services & Consulting,Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Job Security",4.8k,3.6
145,JBM Group,Auto Components,"Job Security, Skill Development / Learning",Promotions / Appraisal,4.8k,3.9
146,Varun Beverages,Beverage,"Job Security, Work Life Balance, Skill Development / Learning",Promotions / Appraisal,4.7k,4.0
147,ITC Infotech,IT Services & Consulting,"Work Life Balance, Job Security",Promotions / Appraisal,4.7k,3.7
148,Nagarro,IT Services & Consulting,"Company Culture, Work Life Balance",Promotions / Appraisal,4.7k,3.9
149,Bosch,Auto Components,"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal,4.6k,4.1
150,Randstad,Recruitment,nan,"Promotions / Appraisal, Job Security, Work Satisfaction",4.6k,3.7
151,EY Global Delivery Services ( EY GDS),IT Services & Consulting,Job Security,"Promotions / Appraisal, Work Satisfaction, Work Life Balance",4.6k,3.5
152,Utkarsh Small Finance Bank,Banking,nan,"Promotions / Appraisal, Company Culture, Work Satisfaction",4.6k,3.6
153,Hewlett Packard Enterprise,IT Services & Consulting,"Company Culture, Work Life Balance, Work Satisfaction",Promotions / Appraisal,4.6k,4.1
154,Home Credit Finance,NBFC,"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal,4.5k,4.0
155,Aditya Birla Fashion and Retail,Fashion & Textile,"Job Security, Skill Development / Learning, Company Culture",nan,4.5k,4.1
156,Mahindra Logistics,Logistics,nan,"Promotions / Appraisal, Salary & Benefits",4.5k,3.7
157,L&T Finance,NBFC,"Salary & Benefits, Job Security",Promotions / Appraisal,4.5k,3.9
158,Cars24,Internet,nan,"Job Security, Promotions / Appraisal, Company Culture",4.5k,3.4
159,Havells,Electrical Equipment,"Work Life Balance, Salary & Benefits",Promotions / Appraisal,4.5k,3.9
160,Dell,Consumer Electronics & Appliances,"Work Life Balance, Company Culture","Promotions / Appraisal, Job Security",4.5k,3.8
161,OPPO,Consumer Electronics & Appliances,Skill Development / Learning,"Promotions / Appraisal, Job Security",4.5k,3.9
162,Intas Pharmaceuticals,Pharma,"Job Security, Salary & Benefits, Work Life Balance",nan,4.5k,4.1
163,R1 RCM,BPO,Job Security,Promotions / Appraisal,4.4k,3.8
164,Tata AIA Life Insurance,Insurance,"Job Security, Skill Development / Learning, Salary & Benefits",nan,4.4k,3.9
165,Hyundai Motor India Limited,Automobile,"Job Security, Skill Development / Learning, Salary & Benefits",nan,4.4k,4.1
166,Hetero,Pharma,"Job Security, Work Life Balance",Promotions / Appraisal,4.4k,3.9
167,Deutsche Bank,Banking,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,4.4k,3.8
168,Motilal Oswal Financial Services,Financial Services,Skill Development / Learning,"Promotions / Appraisal, Work Life Balance, Work Satisfaction",4.3k,3.7
169,Berger Paints,Chemicals,nan,"Promotions / Appraisal, Company Culture, Work Life Balance",4.3k,3.7
170,TeamLease Services,Recruitment,Work Life Balance,Promotions / Appraisal,4.3k,3.9
171,Lenskart,Internet,nan,"Promotions / Appraisal, Company Culture, Work Life Balance",4.2k,3.3
172,VE Commercial Vehicles,Automobile,"Job Security, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits",4.2k,3.9
173,Thermax Limited,Industrial Machinery,"Job Security, Company Culture, Skill Development / Learning",nan,4.2k,4.2
174,Bajaj Auto,Automobile,nan,Promotions / Appraisal,4.2k,3.8
175,Macleods Pharmaceuticals,Pharma,Job Security,"Promotions / Appraisal, Company Culture",4.1k,3.7
176,Aakash Educational Services,Education & Training,nan,"Promotions / Appraisal, Work Life Balance, Job Security",4.1k,3.2
177,Jubilant Foods Works,Hospitality,nan,Promotions / Appraisal,4.1k,3.7
178,Kogta Financial India Limited,NBFC,"Company Culture, Work Life Balance, Work Satisfaction",nan,4.1k,4.7
179,LG Electronics,Consumer Electronics & Appliances,"Job Security, Skill Development / Learning",Promotions / Appraisal,4.1k,3.9
180,Hindalco Industries,Metals & Mining,"Job Security, Work Life Balance, Skill Development / Learning",nan,4.1k,4.2
181,Jindal Steel Limited,Iron & Steel,Skill Development / Learning,Promotions / Appraisal,4k,3.9
182,Royal Enfield,Automobile,"Work Life Balance, Skill Development / Learning, Company Culture",Promotions / Appraisal,4k,4.2
183,State Street Corporation,Financial Services,nan,"Promotions / Appraisal, Salary & Benefits, Company Culture",4k,3.5
184,DCB Bank,Banking,Work Life Balance,Promotions / Appraisal,4k,3.8
185,HDFC Ergo General Insurance,Insurance,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal,4k,4.0
186,Tata Communications,Telecom,"Work Life Balance, Company Culture, Job Security","Promotions / Appraisal, Salary & Benefits",4k,3.9
187,John Deere,Industrial Machinery,"Company Culture, Work Life Balance, Skill Development / Learning",Promotions / Appraisal,4k,4.0
188,RBL Bank,Banking,nan,"Promotions / Appraisal, Company Culture, Work Satisfaction",4k,3.5
189,Cummins,Industrial Machinery,"Company Culture, Work Life Balance, Work Satisfaction",nan,3.9k,4.3
190,Bank of America,Banking,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,3.9k,4.1
191,Alembic Pharmaceuticals,Pharma,"Salary & Benefits, Work Life Balance",nan,3.9k,3.9
192,Oyo Rooms,Internet,nan,"Job Security, Work Satisfaction, Promotions / Appraisal",3.9k,3.0
193,Pidilite Industries,Chemicals,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,3.9k,4.2
194,Publicis Sapient,IT Services & Consulting,nan,"Promotions / Appraisal, Job Security, Work Satisfaction",3.9k,3.3
195,Carelon Global Solutions,IT Services & Consulting,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal,4.1k,3.9
196,Subros,Auto Components,"Job Security, Skill Development / Learning, Company Culture","Salary & Benefits, Promotions / Appraisal",3.8k,3.8
197,Reliance Communications,Telecom,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal,3.8k,4.0
198,American Express,Financial Services,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal,3.8k,4.1
199,XpressBees,Logistics,"Work Life Balance, Company Culture, Work Satisfaction",nan,3.8k,4.2
200,Altruist Technologies,BPO,"Company Culture, Work Life Balance, Work Satisfaction",nan,3.8k,4.4
201,Aditya Birla Sun Life Insurance,Insurance,"Work Life Balance, Company Culture, Job Security",nan,3.8k,4.0
202,Grasim Industries,Building Material,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal,3.8k,4.0
203,Viatris,Pharma,"Salary & Benefits, Job Security, Work Life Balance",nan,3.8k,4.1
204,Kyndryl,IT Services & Consulting,"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal,3.8k,4.0
205,Automatic Data Processing (ADP),Software Product,"Job Security, Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits",3.8k,3.9
206,PNB MetLife,Insurance,nan,"Job Security, Company Culture, Work Satisfaction",3.7k,3.3
207,PVR INOX,Media & Entertainment,Job Security,Promotions / Appraisal,3.7k,3.9
208,Aditya Birla Capital,NBFC,"Work Life Balance, Salary & Benefits",Promotions / Appraisal,3.7k,3.8
209,Escorts Kubota Limited,Automobile,"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal,3.7k,4.1
210,Maersk,Logistics,"Company Culture, Work Life Balance, Salary & Benefits",Promotions / Appraisal,3.7k,4.0
211,Synechron,IT Services & Consulting,nan,"Job Security, Promotions / Appraisal, Work Satisfaction",3.7k,3.4
212,KPIT Technologies,Software Product,nan,"Promotions / Appraisal, Job Security, Work Satisfaction",3.7k,2.9
213,Birlasoft,IT Services & Consulting,nan,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",3.7k,3.5
214,Glenmark Pharmaceuticals,Pharma,nan,Promotions / Appraisal,3.6k,3.8
215,JK Cement,Building Material,Salary & Benefits,Promotions / Appraisal,3.6k,4.0
216,Sodexo,Facility Management Services,"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal,3.6k,4.0
217,Dabur,FMCG,Salary & Benefits,Promotions / Appraisal,3.6k,3.8
218,Godrej & Boyce Manufacturing,Consumer Electronics & Appliances,Job Security,Promotions / Appraisal,3.6k,3.9
219,Kotak Mahindra Life Insurance Company,Insurance,nan,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",3.6k,3.5
220,Bharat Electronics,Electronics Manufacturing,"Work Life Balance, Company Culture, Work Satisfaction",nan,3.6k,4.2
221,Cogent E Services,BPO,nan,"Company Culture, Work Satisfaction, Promotions / Appraisal",3.6k,3.2
222,Samvardhana Motherson Group,Auto Components,Job Security,"Promotions / Appraisal, Company Culture, Work Satisfaction",3.6k,3.7
223,Abbott,Pharma,"Work Life Balance, Skill Development / Learning, Salary & Benefits",Promotions / Appraisal,3.6k,4.1
224,Ipca Laboratories,Pharma,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits",3.6k,3.8
225,Aarti Industries,Agro Chemicals,"Job Security, Work Life Balance, Company Culture",nan,3.6k,4.1
226,Cloudnine Hospital,Healthcare,"Skill Development / Learning, Company Culture, Work Life Balance",nan,3.6k,4.4
227,Reliance Projects & Property Management Services,Other,"Work Life Balance, Job Security, Skill Development / Learning",Promotions / Appraisal,3.5k,4.0
228,PhonePe,FinTech,"Salary & Benefits, Company Culture, Work Life Balance",nan,3.5k,4.0
229,Indian Oil Corporation,Oil & Gas,"Company Culture, Work Life Balance, Work Satisfaction",nan,3.5k,4.3
230,Reliance Digital,Retail,"Skill Development / Learning, Job Security, Company Culture",nan,3.5k,4.2
231,MRF Tyres,Auto Components,nan,"Company Culture, Work Satisfaction, Work Life Balance",3.5k,3.6
232,Alkem Laboratories,Pharma,Salary & Benefits,Promotions / Appraisal,3.5k,3.9
233,Johnson Controls,Industrial Automation,nan,"Promotions / Appraisal, Work Satisfaction, Job Security",3.5k,3.5
234,IGT Solutions,BPO,nan,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",3.5k,3.2
235,"NTT DATA, Inc.",IT Services & Consulting,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,3.5k,3.9
236,UNO Minda,Auto Components,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal,3.5k,4.0
237,Honda Motorcycle & Scooter,Automobile,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,3.4k,4.1
238,ArcelorMittal Nippon Steel,Iron & Steel,"Job Security, Work Life Balance, Company Culture",nan,3.4k,4.1
239,[24]7.ai,Software Product,nan,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",3.4k,3.4
240,Blinkit,Internet,Salary & Benefits,"Promotions / Appraisal, Job Security",3.4k,3.8
241,Vishal Mega Mart,Retail,Salary & Benefits,nan,3.4k,3.8
242,Hindustan Coca Cola Beverages,Beverage,"Skill Development / Learning, Salary & Benefits, Company Culture",Promotions / Appraisal,3.4k,4.0
243,UBS,Financial Services,"Work Life Balance, Company Culture","Promotions / Appraisal, Job Security",3.4k,3.8
244,DTDC Express,Logistics,nan,"Promotions / Appraisal, Salary & Benefits",3.4k,3.7
245,IndusInd Nippon Life Insurance,Mumbai +487 other locations,nan,"Job Security, Company Culture, Work Satisfaction",3.4k,3.4
246,Bajaj General Insurance Limited,Insurance,nan,"Promotions / Appraisal, Work Life Balance, Work Satisfaction",3.4k,3.7
247,Ford Motor,Automobile,"Company Culture, Work Life Balance, Salary & Benefits",Promotions / Appraisal,3.3k,4.2
248,Ceat Tyres,Auto Components,"Job Security, Company Culture, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits",3.3k,3.9
249,ABB,Industrial Machinery,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,3.3k,4.1
250,Barclays,Banking,Work Life Balance,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",3.3k,3.7
251,HARMAN,Consumer Electronics & Appliances,Work Life Balance,Promotions / Appraisal,3.3k,3.8
252,RSPL Group,FMCG,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,3.3k,4.0
